State,Year,Candidate,Constituency,Party,Criminal_Case,Education,Total_Assets,Liabilities
Bihar,2020,Fazal Ahmad,KUMHRAR,JD(S),0,Doctorate,18622000.0,"Rs 44,00,000"
Bihar,2020,Lalu Das,BATHNAHA (SC),IND,0,8th Pass,420000.0,Rs 0
Bihar,2020,Santosh Kumar Ray,MARHAURA,IND,3,Post Graduate,7877097.0,"Rs 29,00,000"
Bihar,2020,A Mona Prasad Sundeshwar Ram,KALYANPUR (SC),LJP,0,10th Pass,44060000.0,"Rs 1,24,85,435"
Bihar,2020,Aakash Kumar Singh,BUXAR,IND,5,Post Graduate,8201633.0,"Rs 5,00,000"
Bihar,2020,Abdhesh Kumar Rai,BACHHWARA,CPI,3,12th Pass,7847989.0,Rs 0
Bihar,2020,Abdul Bari Siddiqui,KEOTI,RJD,2,12th Pass,23757803.0,"Rs 4,66,517"
Bihar,2020,Abdul Ghafoor,KISHANGANJ (KISHANGANJ),IND,0,12th Pass,3306576.0,Rs 0
Bihar,2020,Abdul Irfan,JHANJHARPUR,IND,0,8th Pass,3036000.0,Rs 0
Bihar,2020,Abdul Jalil Mastan,AMOUR,INC,1,12th Pass,12923000.0,Rs 0
Bihar,2020,Abdul Rajjak Alias Kala Baba,AMOUR,IND,0,8th Pass,720000.0,Rs 0
Bihar,2020,Abdul Rizwan Ansari,SIWAN,Rashtriya Lok Samta Party,2,12th Pass,48797461.0,"Rs 44,50,000"
Bihar,2020,Abdur Razzaque,MAHISHI,LJP,0,12th Pass,414736.0,"Rs 2,89,312"
Bihar,2020,Abdus Salam Khan,HAYAGHAT,Jan Adhikar Party (Loktantrik),2,Graduate,36926002.0,Rs 0
Bihar,2020,Abhash Kumar Jha,SARAIRANJAN,LJP,2,Graduate,106810000.0,Rs 0
Bihar,2020,Abhay Kant Mishra,JHANJHARPUR,IND,0,12th Pass,7511506.0,"Rs 6,53,000"
Bihar,2020,Abhay Kumar,BELAGANJ,NCP,0,Post Graduate,46657.0,Rs 0
Bihar,2020,Abhay Kumar Singh,KESARIA,BSP,2,Post Graduate,19454590.0,"Rs 14,37,576"
Bihar,2020,Abhay Kumar Singh,MORWA,LJP,1,Graduate,42346390.0,"Rs 10,37,062"
Bihar,2020,Abhay Kumar Sinha,BELAGANJ,JD(U),14,12th Pass,28400999.0,"Rs 25,15,833"
Bihar,2020,Abhay Shankar,HILSA,Rashtriya Jan Jan Party,1,Graduate,19045000.0,"Rs 10,00,000"
Bihar,2020,Abhay Singh,RUPAULI,IND,0,Doctorate,1330000.0,Rs 0
Bihar,2020,Abhijit Singh,DHAKA,Jan Adhikar Party (Loktantrik),0,Post Graduate,14562590.0,"Rs 2,00,000"
Bihar,2020,Abhimanyu Kumar,BOCHAHAN (SC),The Plurals Party,0,8th Pass,2832030.0,Rs 0
Bihar,2020,Abhinav Bharti,CHIRAIA,The Plurals Party,0,Graduate,10483764.0,Rs 0
Bihar,2020,Abhinav Raj,WARISNAGAR,IND,0,Graduate Professional,123767.0,Rs 0
Bihar,2020,Abhiram Priyadarshi,GOH,IND,0,10th Pass,2177117.0,Rs 0
Bihar,2020,Abhishek Anand,SIKTI,IND,0,Graduate,6509599.0,Rs 0
Bihar,2020,Abhishek Anand,ALAMNAGAR,The Plurals Party,0,Graduate Professional,4236621.0,Rs 0
Bihar,2020,Abhishek Kumar,MAHARAJGANJ,Rashtriya Jan Jan Party,0,Graduate,21252971.0,Rs 0
Bihar,2020,Abhishek Kumar Singh,MOTIHARI,IND,0,Graduate Professional,750000.0,Rs 0
Bihar,2020,Abhishek Raj,VAISHALI,IND,0,Graduate,13050321.0,"Rs 48,44,979"
Bihar,2020,Abhishek Raja,RIGA,IND,0,Post Graduate,31275893.0,Rs 0
Bihar,2020,Abhishek Ranjan,SURYAGARHA,IND,0,Graduate Professional,3463704.0,"Rs 12,00,000"
Bihar,2020,Abhishek Ranjan,ARWAL,Jan Adhikar Party (Loktantrik),5,Graduate,22010000.0,"Rs 5,00,000"
Bihar,2020,Abhishek Ranjan,BARAULI,IND,0,Graduate Professional,36649095.0,"Rs 90,91,162"
Bihar,2020,Abhishek Ranjan,CHANPATIA,INC,0,Post Graduate,52220940.0,"Rs 52,65,637"
Bihar,2020,Abhishek Srivastva Alias Sonu,SIWAN,IND,0,Graduate Professional,13774488.0,Rs 0
Bihar,2020,Abidur Rahman,ARARIA,INC,2,10th Pass,42022017.0,"Rs 8,08,162"
Bihar,2020,Abubakar Rahmani,BENIPATTI,IND,0,Post Graduate,895328.0,Rs 0
Bihar,2020,Achchhelal Prasad,CHIRAIA,RJD,4,Graduate,49804389.0,"Rs 4,38,190"
Bihar,2020,Achmit Rishidev,RANIGANJ (SC),JD(U),1,Literate,6679526.0,"Rs 13,75,603"
Bihar,2020,Adarsh Kumar,NAUTAN,IND,0,12th Pass,7080000.0,Rs 0
Bihar,2020,Adilur Rehman Azad,BACHHWARA,Janta Dal Rashtravadi,0,Graduate,2651800.0,Rs 0
Bihar,2020,Aditya Kumar Shyour,PARBATTA,LJP,6,Graduate Professional,2408645.0,Rs 0
